app_id,game_image,twenty_four_hour_peak_players,all_time_peak_players,current_datetime
578080,https://steamcharts.com/assets/steam-images/578080.jpg,979753,3236027,2026-04-12 13:24:45+08:00
2358720,https://steamcharts.com/assets/steam-images/2358720.jpg,18125,2406967,2026-04-12 13:24:46+08:00
1623730,https://steamcharts.com/assets/steam-images/1623730.jpg,43856,2101535,2026-04-12 13:24:47+08:00
730,https://steamcharts.com/assets/steam-images/730.jpg,1539152,1818368,2026-04-12 13:24:48+08:00
1599340,https://steamcharts.com/assets/steam-images/1599340.jpg,7778,1324761,2026-04-12 13:24:49+08:00
570,https://steamcharts.com/assets/steam-images/570.jpg,672141,1291328,2026-04-12 13:24:50+08:00
2246340,https://steamcharts.com/assets/steam-images/2246340.jpg,31128,1179869,2026-04-12 13:24:51+08:00
1245620,https://steamcharts.com/assets/steam-images/1245620.jpg,50068,952523,2026-04-12 13:24:51+08:00
1063730,https://steamcharts.com/assets/steam-images/1063730.jpg,927,913027,2026-04-12 13:24:52+08:00
2923300,https://steamcharts.com/assets/steam-images/2923300.jpg,23880,890713,2026-04-12 13:24:53+08:00
