app_id,game_image,twenty_four_hour_peak_players,all_time_peak_players,current_datetime
599140,https://steamcharts.com/assets/steam-images/599140.jpg,36899,36899,2026-04-12 12:11:35+08:00
2646460,https://steamcharts.com/assets/steam-images/2646460.jpg,38003,46807,2026-04-12 12:11:36+08:00
2289750,https://steamcharts.com/assets/steam-images/2289750.jpg,2316,12646,2026-04-12 12:11:37+08:00
3337140,https://steamcharts.com/assets/steam-images/3337140.jpg,608,1224,2026-04-12 12:11:39+08:00
1088790,https://steamcharts.com/assets/steam-images/1088790.jpg,615,1261,2026-04-12 12:11:40+08:00
